"","Epithelial...AT1","Epithelial...AT2","Epithelial...Basal","Epithelial...Ciliated","Epithelial...Goblet","Epithelial...Ionocyte","Epithelial...Mucous","Epithelial...Myoepithelial","Epithelial...Neuroendocrine","Epithelial...Resp.Airway.Secretory","Epithelial...Secretory","Epithelial...Serous","Epithelial...SMG.Basal.Duct","Lymphoid...B.cell","Lymphoid...CD4.T.cell","Lymphoid...CD8.T.cell","Lymphoid...NK.NKT","Lymphoid...Plasma.celll","Lymphoid...Regulatory.T.cell","Myeloid...Alveolar.Macrophage","Myeloid...cDC1","Myeloid...cDC2","Myeloid...Inflammatory.Monocyte","Myeloid...maDC","Myeloid...Mast.Basophil","Myeloid...Neutrophil","Myeloid...Patrolling.Monocyte","Myeloid...pDC"
"sample_37",0.0315363624803775,0.0403201090678208,0.0366518997005674,0.0489311279514593,0.030462803387998,0.0189064411891917,0.0426706969396716,0.0345762160403223,0.0223724578226301,0.0244103800916911,0,0,0.0624533477166719,0.0250527006288282,0.0313487686329878,0.050556901246366,0.0392225399915023,0.0332261337083813,0.0216848317378255,0.103748903883417,0.0251992067379608,0.0348873642838623,0.0418585430724451,0.0223831409124858,0.0194965499151448,0,0.128643107517441,0.0293994653429508
"sample_38",0.0167968725823728,0.0235166403002353,0.0300142432217548,0.0279366866988488,0.0268096767982136,0.0139054546477927,0.0278948745203363,0.0255421910401737,0.0181115832499322,0.0272962795052071,0,0.00879509742373868,0.052013848742251,0.0177137013756749,0.022159261703037,0.0911154332186164,0.0342241373210087,0.0294589613587503,0.016911091812971,0.133839834249329,0.0272911882331859,0.0472874561214405,0.0367495159949933,0.013038773425586,0.0223393071849113,0.0111971285779563,0.171425215274488,0.0266155454171948
"sample_39",0.0350468209217697,0.0309013075778401,0.0381286906136616,0.0775242184266527,0.0612732201172177,0.0160961325961279,0.0200289902012254,0.0416243990006609,0.0270933605915883,0.0123328141320973,0,0.0213758712092708,0.0710277586174948,0.0214618272604903,0.0201432657803163,0.039721109538944,0.0402721065241052,0.0264533413198437,0.0158948412084498,0.0954651690180038,0.0285742621480202,0.0201563303779959,0.0515766249039394,0.0229100445189235,0.0180755013734944,0.00279875429261365,0.11543518238785,0.0286080553414029
"sample_40",0.0612496053439625,0.0547809537306861,0.0519205379481126,0.0507732464092654,0.0506360292315136,0.0294721046710304,0.062361821866092,0.0564168264989646,0.0359027826182639,0,0,0,0.0645316491855156,0.033266180939528,0.0231219678655983,0.0270552876081452,0.0551254611929952,0.0284048645269898,0.020761997512356,0.0213437869534218,0.0402811649561734,0.0349715213618354,0.0248306474650461,0.0246701121311736,0.0300460436822762,0.00999019688569707,0.0679054784062744,0.0401797310090827
"sample_41",0.0516325984255845,0.048388134457242,0.0388984324640927,0.0696981331232124,0.0458593257103023,0.0156710357793219,0.0282286713235667,0.0253382628857275,0.0178513010551109,0.0532319924195206,0,0.0157510359852329,0.0637561992319959,0.0240934273228399,0.0242548404990078,0.026660034243285,0.019569990404635,0.0356549379802877,0.017737371889533,0.122623659054028,0.0258222948672164,0.0176671390560696,0.0499596758000174,0.013174504883533,0.0208742770707569,0.000663941605461678,0.107788031883379,0.0191507505790397
"sample_42",0.0577570975705151,0.0395460986299625,0.0507564609322097,0.15208589652956,0.0613670807403933,0.0228808656050927,0.0366606895684965,0.0532475156733065,0.02861106417906,0.00757525765143133,0.000353518851583609,0.00494245862171046,0.101380705196241,0.0288484827368871,0.0372819860688928,0.00106198316497345,0.0409610797543098,0.0279213970536224,0.0105596764501107,0.0257974437673065,0.0251987202828998,0.00450702079234793,0.0359627931620032,0.0310645058979571,0.0184002491746102,0,0.053565260573834,0.0417046913706825
"sample_43",0.0536545094164765,0.0425563764564544,0.0433374038390618,0.0735706430826502,0.0764369815061836,0.0219226558901813,0.0498842208508878,0.0562386676064536,0.0318089118194903,0,0.0322667476808024,0.00441349704585163,0.0637133233069224,0.0294029083583805,0.0210375265763326,0.0278511888773343,0.0429884089072859,0.0241070499308408,0.023048886742696,0.0245325040638872,0.0331465502110492,0,0.0652150940412155,0.0371156189001294,0.0159524019021843,0.0218213928001099,0.047664616781077,0.0363119134060614
"sample_44",0.0782294439243546,0.068705968057697,0.0666285533970589,0.0727624439722713,0.029429061174013,0.0358821135307434,0.0718828348716836,0.0581653585819592,0.0432402633345548,0,0,0,0.068399177349219,0.0479334781557705,0.037454973985331,0,0.0514597382311148,0.0230223691935326,0.0344199723418301,0,0.0329455421895975,0.0166112494119716,0.0157387057929002,0.0358531445978856,0.0146547034619287,0,0.0396181894146933,0.0569627150298893
"sample_45",0.0523045010365035,0.0302183787626033,0.0381355047049543,0.223031275949463,0.0748278602429961,0.0169073537372072,0.043216655012249,0.0399302473469667,0.0249318899025337,0.0123249781569208,0.00644238231488252,0,0.120625036189609,0.0264871600548143,0.0224402409395019,0.00509111855385161,0.028681554357912,0.0309830705511151,0.0321253224582227,0.0120798797896979,0.0247715881302903,0.000631188489509643,0.0335348318770993,0.0288241087139303,0.018965550210126,0,0.0314658343820263,0.021022488135013
"sample_46",0.0505346066528589,0.0404178358839122,0.0433320167598825,0.0529184489645639,0.0398012043191109,0.0202835553236983,0.0300365339330134,0.0504456714505973,0.0401697455134733,0,0,0.0125830512581717,0.0434501494674676,0.0195828548790793,0.0334804791845639,0.0132177988812825,0.0514133142230938,0.0289092453973032,0.0202748549401972,0,0.0258411841102059,0,0.0938155122636998,0.0400528135352915,0.0241026949533939,0.118521265470873,0.0733468457571676,0.0334683168770979
