"","Epithelial...Basal","Epithelial...Ciliated","Epithelial...Club","Epithelial...Deuterosomal","Epithelial...Duct","Epithelial...Goblet","Epithelial...Hillock","Epithelial...Secretory","Epithelial...Squamous","Epithelial...Transitional","Lymphoid...B.cell","Lymphoid...CD4.T.cell","Lymphoid...CD8.T.cell","Lymphoid...Naive.T.cell","Lymphoid...NK.NKT","Myeloid...Dendritic","Myeloid...Macrophage","Myeloid...Mast","Myeloid...Monocyte","Myeloid...Neutrophil"
"sample_21",0,0.012810872649117,0,0.0477573099880196,0.00168802864925363,0.164859564736491,0.239957012913652,0.102946951625987,0.0926063891665163,0.0108904176475273,0.0227713774972797,0.0296366780679284,0.0249410749130362,0.012793744115997,0.0415365639705913,0.0455404872200049,0.0360021108943333,0.0124498180722737,0.0272692590656956,0.0735423388062966
"sample_22",0,0.0243079101241211,0.00775701664732165,0.0615043067306939,0.00135577121061634,0.11779098454735,0.0788179356526318,0.100180369242601,0.146311661792702,0.0695807601354484,0.0409402928738806,0.0549713080843223,0.0239139499886807,0.00799285419854404,0.0495820958525207,0.0542942070341245,0.0663070084456648,0.0268392129216995,0.0248027594201093,0.0427495950969668
"sample_23",0.0233044201157618,0.0638432471915399,0.0469107927404244,0.10540223970004,0.106939621681526,0.0126132268535199,0.0174472988125217,0.102223577272918,0.0384621771687831,0.106479064816767,0.0340892597459047,0.0449661121735298,0.00564467681706349,0.00924748516533118,0.0636285666126031,0.0536978288405245,0.0526462595478365,0.0242447425741363,0.0392659740381988,0.0489434281310702
"sample_24",0.0237865117422826,0,0,0.0664700880374717,0.00861152977264579,0.188450187710836,0.0779126603140454,0.129169120242218,0.0979369472330274,0.0500330074924729,0.0263709217731088,0.0487654155812097,0.0263242482349195,0,0.0521125870424491,0.0645627801740632,0.0777018742187079,0.0194498255294787,0.010782732914069,0.0315595619869938
"sample_25",0.021159828115238,0.251881025708118,0.0332793416721813,0.0599666561461665,0,0,0.000995723330344473,0.161082861674722,0.0196388897087762,0.157222340326587,0.0367930003434765,0.0351808530251873,0.0174658918403815,0.0261619171928506,0.04818194224287,0.0457061798021572,0.0461965280510522,0.0220439909148415,0.00419693856724067,0.0128460913378098
"sample_26",0.053440476647652,0.0348484990027014,0.0259238786308687,0.0941993562866244,0.0459027919948331,0.223356465296957,0.00241015105929793,0.0761737657579728,0.0438244878065372,0.0445199045480663,0.0314717015451639,0.0480495571846673,0.0350043891490593,0.00587975435379537,0.0709414909615372,0.0597501223953012,0.0672725358358465,0.009087741018974,0,0.0279429305241448
"sample_27",0.0597354678532573,0.162682162650027,0.135896333999575,0.0465299050532078,0.00428412675170146,0.0159611214411836,0,0,0.021326308047755,0.268609069570003,0.0311742135546473,0.0423137290942905,0.020522608949162,0.00700363761668572,0.0498097469450097,0.0570158093945648,0.0493651339145014,0.0131023796299396,0,0.0146682455344894
"sample_28",0.0558835373029216,0.161032045549166,0.0590816462326108,0.0416927797172962,0,0.0429439531919045,0.0389033898985082,0.1103286211757,0.0290045987316366,0.155778579969986,0.04089459194869,0.0324411114032812,0.0280875075797545,0.0183259511355068,0.0483435841483692,0.0536602114731111,0.037290253824634,0.0180146592997369,0.0154934329779642,0.0127995444392217
"sample_29",0.0221580165937246,0.0689588507129345,0.0008560362017539,0.0377793386529162,0,0.148334229408096,0.0699243229852062,0.193437811172364,0.0656383668667645,0.117667175237605,0.0266386288300533,0.0398946987354549,0.0285736573124411,0,0.0518109295229383,0.0407952256220576,0.0359571772238336,0.0173178512945069,0.015686929528044,0.0185707540993065
"sample_30",0.0267784104098172,0.0186161727693195,0,0.0628711718371781,0,0.248829140626099,0.00380467753416872,0.156932771654494,0.0332741938789458,0.0958253626981295,0.043156190604323,0.0579887338386876,0.015973792608596,0,0.063862995573598,0.0548627369161727,0.0634611150198288,0.0239609358393714,0.0193750401309326,0.0104265580603385
