"","total_genusmass","simpson","shannon","richness","Bacteria","Eukaryota","Viruses"
"sample_105",-1.07857599623023,0.938498434783502,3.48153954306639,16,0.0648396947827975,0.012505702477187,0.00355215283045604
"sample_106",1.755284143147,0.520825625006768,0.901655197030011,4,56.9225232487999,0,0
"sample_107",1.41243998276895,0.122253254442399,0.343034043555151,63,0.268023675068004,0.135601545830008,24.1940015661032
"sample_108",-0.367381047494897,0.713109470360894,1.73001438064468,14,0.407600332859718,0.0192293451738204,3.81040927606034e-05
"sample_109",-0.990468587298472,0.260217981440735,0.704926167842279,6,0.00403623242730134,0.00625725569406159,0.00419113045033231
"sample_110",1.12775028641153,0.270421092611531,0.481238328251166,4,2.00434669392704,0,11.3506493506494
"sample_111",-0.813964930461011,0.818612594404275,2.28253704124059,13,0.0768635899719847,0.0261665824701109,0.00242641538518631
"sample_112",0.901119904551432,0.471872516339656,0.937396364492918,77,5.63978633145718,0.0809954396454624,2.23813855245165
"sample_113",2.12300899317392,0.660141662010746,1.08850219214701,3,82.7421945099055,0,0
"sample_114",1.57143237720686,0.173815541116774,0.360029713621618,6,3.28653312386037,0.0725671911011463,33.7361584327087
"sample_115",1.98758481435769,0.594229007823084,1.27556783186272,24,86.0467216763778,0.783653356598654,10.1608806096528
"sample_116",2.55882513477759,0.561431621621239,1.19347609129906,10,132.632887796922,0,229.464285714286
"sample_117",-0.97430538539516,0.486139984190133,1.02122215595888,3,0.103461025373725,0.00243931972195275,0
"sample_118",-0.548240741214426,0.344181862128354,1.1958636307293,9,0.273978171523317,0.00825092680039077,0
"sample_119",-0.993508330254081,0.76365088687079,2.29258962721507,10,0.092006857222779,0.00872621039787342,0
"sample_120",-0.318378756904665,0.866445402592527,2.25106165562736,12,0.297532687764411,0.182887493879967,0
"sample_121",0.311071061654462,0.884226199233872,2.69945407341686,53,1.45003290412101,0.0402278159122733,0.119833807597367
"sample_122",1.03251378893835,0.0558446161512163,0.19022218227766,19,10.615870333815,0.151462492905223,0.00634118049687597
"sample_123",2.74784245379017,0.00308792724271589,0.0133734036239041,5,0.864826356097555,0,0
"sample_124",-0.830409920952862,0.838620103874578,2.66306583172179,10,0.0829188652911563,0.0188784198676868,0.0444347290469517
"sample_125",0.210284930172964,0.631697949463833,1.91273910025407,69,0.427753567603258,0.203583741979001,0.969540021159343
"sample_126",1.27677935381338,0.115327530202396,0.450160064690069,114,0.591141356513537,0.484549708761662,17.8071896347316
"sample_127",0.858452928763088,0.913248816461542,3.36217475194889,121,5.25079780175489,1.34987511810715,0.115481775532299
"sample_128",0.358741957191216,0.871368579225237,2.91752228917238,91,1.29723154938671,0.896995492540749,0.0143793627385976
"sample_129",-0.319105516594771,0.728196425423344,1.9654926778044,29,0.443800718050231,0.0282873230657354,0
"sample_130",0.0190129674066358,0.569827850239275,1.43365848257109,26,0.970212848450198,0.0114317430435047,0.0104057702734527
"sample_131",-2.88602653835972,0.897906183270732,2.29170698355716,0,0.000812109354577999,0.000487980776639386,0
"sample_132",-0.25976305879492,0.936395065996956,3.21633093110852,42,0.284716117848006,0.158647145331368,0.0344711361686481
"sample_133",0.805265185569378,0.109914044762963,0.420351123655038,59,6.22584409544867,0.132425470309911,0
"sample_134",2.01510782617793,0.484126997011772,1.05021880046368,16,31.5764768634238,0.17688679245283,0
"sample_135",1.65880304297373,0.661444368518897,1.39550781524879,19,44.6653032987744,0.370012960261649,0
"sample_136",0.962835645478417,0.430346415953406,0.887569443238118,25,9.14712755530675,0.0202577326958238,0.000190184574129192
"sample_137",3.81837890025814,0.0519870891027185,0.178588694385821,15,6513.27114533402,1.38873810225134,0
"sample_138",-0.597985805343162,0.552611022693253,1.86792137461115,24,0.20432837914267,0.0400366563924442,0.00433567623460426
"sample_139",0.335180389742079,0.470221162830055,1.44784263435847,47,0.332511821750819,0.235747421860331,0.0160607387939845
"sample_140",0.711960918411205,0.526248667637087,0.89879203766587,26,5.1048206655609,0.0305256164648006,0.00164441228704861
